Tiempo (s)  Temperatura (C)  Voltaje HV (V)   Corriente SiPM
136.92            9.81            49.20            1.02
137.33            9.77            49.22            1.04
137.73            9.77            49.22            1.12
138.14            9.62            49.21            1.09
138.55            9.67            49.77            1.30
138.95            9.72            49.67            1.19
139.36            9.96            49.65            1.13
139.76            9.86            49.68            1.14
140.17            9.86            49.71            1.27
140.58            9.72            49.68            1.19
140.98            9.91            49.67            1.11
141.39            9.81            49.68            1.13
141.80            9.72            49.71            1.12
142.20            9.96            49.68            1.14
142.61            9.86            49.65            1.08
143.01            9.67            49.66            1.15
143.42            9.67            49.67            1.08
143.83            9.81            49.68            1.05
144.23            9.72            49.70            1.07
144.64            9.33            49.68            1.04
145.05            9.91            49.67            1.06
145.45            9.62            49.72            1.01
145.86            9.81            49.68            1.01
146.27            10.06            49.68            1.08
149.70            9.96            50.28            1.27
152.13            9.96            50.13            1.63
152.53            10.11            50.16            1.66
155.96            10.11            50.74            1.31
156.37            10.25            50.75            1.31
156.78            9.81            50.77            1.34
159.20            10.01            50.67            1.64
162.63            10.21            51.19            0.81
163.04            10.11            51.22            0.79
163.45            10.50            51.19            0.82
163.85            10.45            51.22            0.77
164.26            10.16            51.21            0.75
164.67            10.16            51.23            0.77
165.07            10.25            51.19            0.75
165.48            10.45            51.21            0.73
165.89            10.16            51.20            0.73
166.29            10.35            51.80            0.93
166.70            10.21            51.80            0.90
167.11            10.30            51.67            0.81
167.51            10.40            51.67            0.79
167.92            10.16            51.70            0.74
168.32            10.25            51.69            0.70
168.73            10.35            51.70            0.73
169.14            10.40            51.70            0.72
169.54            10.40            51.70            0.67
169.95            10.25            51.73            0.70
170.36            10.11            51.72            0.73
170.76            10.45            51.70            0.76
171.17            10.16            51.69            0.77
171.58            10.35            51.72            0.74
171.98            10.50            52.25            1.58
172.39            10.11            52.23            1.38
172.79            10.16            52.21            1.48
173.20            10.30            52.19            1.52
173.61            10.50            52.17            1.46
174.01            10.69            52.19            1.57
174.42            10.35            52.21            1.52
174.83            10.16            52.17            1.52
175.23            10.35            52.22            1.49
175.64            10.30            52.19            1.55
176.05            10.40            52.21            1.53
176.45            10.16            52.21            1.58
176.86            10.55            52.20            1.50
177.27            10.40            52.16            1.57
177.67            10.25            52.19            1.60
178.08            10.21            52.15            1.59
178.49            10.30            52.25            1.55
178.89            10.30            52.20            1.51
179.30            10.35            52.17            1.56
179.70            10.35            52.35            2.31
180.11            10.45            52.70            2.75
180.52            10.30            52.65            2.65
180.92            10.30            52.64            2.73
181.33            10.35            52.66            2.75
181.74            10.35            52.62            2.76
182.14            10.16            52.67            2.64
182.55            10.35            52.61            2.79
182.96            10.25            52.69            2.69
183.36            10.16            52.68            2.69
183.77            10.25            52.69            2.81
184.18            10.25            52.68            2.74
184.58            10.40            52.71            2.68
184.99            10.16            52.67            2.77
185.40            10.25            52.69            2.80
185.80            10.11            52.65            2.91
186.21            10.25            53.14            4.24
186.61            10.30            53.20            4.40
187.02            10.30            53.17            4.23
187.43            10.35            53.17            4.26
187.83            10.11            53.16            4.28
188.24            10.01            53.18            4.37
188.65            10.11            53.18            4.25
189.05            9.96            53.18            4.31
191.48            10.21            53.09            4.10
194.91            10.45            53.71            5.47
195.32            10.21            53.66            6.04
195.73            10.06            53.67            5.65
196.13            10.11            53.64            6.04
196.54            9.86            53.63            5.92
198.97            9.81            53.66            5.63
199.37            10.01            53.60            6.02
202.80            9.91            54.13            7.56
205.23            9.77            54.06            7.60
205.64            9.67            54.07            7.65
206.05            9.86            54.06            7.88
206.45            9.86            54.06            7.61
206.86            9.86            54.08            7.93
207.26            9.47            54.06            7.64
207.67            9.72            54.00            7.86
208.08            9.62            54.07            7.57
208.48            9.42            54.04            7.24
208.89            9.57            54.03            8.08
209.30            9.47            54.58            10.24
209.70            9.67            54.58            10.30
210.11            9.42            54.55            9.88
210.52            9.57            54.50            9.76
210.92            9.38            54.51            10.19
211.33            9.67            54.53            9.69
211.74            9.33            54.58            10.15
212.14            9.57            54.55            9.91
212.55            9.33            54.50            9.86
212.95            9.47            54.57            9.67
213.36            9.52            54.56            9.89
213.77            9.77            54.51            10.09
214.17            9.72            54.50            10.37
214.58            9.62            54.55            9.79
214.99            9.47            54.53            9.92
215.39            9.52            54.59            9.78
215.80            9.47            54.49            10.04
216.21            9.72            54.52            10.04
216.61            9.33            54.55            9.81
217.02            9.52            55.12            12.68
217.42            9.38            55.11            12.53
217.83            9.62            54.99            12.36
218.24            9.72            55.03            12.10
218.64            9.47            54.97            12.62
219.05            9.38            55.08            12.40
219.46            9.23            55.03            12.41
219.86            9.08            55.00            12.11
220.27            9.42            54.99            12.29
220.68            9.08            55.02            12.24
221.08            9.18            55.01            12.44
221.49            9.38            55.01            12.01
221.90            8.74            55.09            11.93
222.30            9.28            55.03            12.44
222.71            9.42            55.05            12.51
223.12            9.23            55.01            12.90
223.52            9.13            55.10            12.07
223.93            9.28            55.08            12.21
224.33            9.38            54.98            12.36
224.74            9.13            55.10            12.25
225.15            9.18            55.63            14.49
225.55            9.08            55.54            14.84
225.96            8.89            55.45            14.68
226.37            9.13            55.57            14.95
226.77            8.98            55.55            15.19
227.18            8.98            55.53            15.28
227.59            8.94            55.45            15.26
227.99            8.98            55.50            14.96
228.40            9.13            55.49            15.40
228.81            8.94            55.55            15.26
229.21            9.08            55.48            14.85
229.62            8.94            55.49            15.04
230.03            9.18            55.50            15.50
230.43            9.03            55.49            15.20
230.84            9.13            55.53            14.81
231.24            8.89            55.54            14.65
231.65            8.89            55.49            14.95
232.06            8.94            55.58            15.39
232.46            9.08            55.50            14.85
232.87            8.94            56.03            18.24
233.28            9.03            56.10            18.29
233.68            8.69            56.01            18.01
234.09            8.84            55.94            17.47
234.50            8.79            56.04            17.95
234.90            9.03            56.01            17.65
235.31            8.79            56.04            17.88
235.72            8.69            56.00            17.71
236.12            8.74            56.05            17.48
236.53            8.79            56.01            17.88
236.94            8.89            56.01            17.44
237.34            8.89            56.01            18.10
237.75            8.74            55.93            18.06
238.15            8.64            56.04            17.20
238.56            8.69            56.01            18.26
238.97            8.69            56.03            17.73
239.37            8.89            56.03            18.07
239.78            8.74            56.00            17.20
240.19            8.64            56.02            17.13
240.59            8.54            56.03            17.42
241.00            8.40            55.94            17.59
241.41            8.69            56.01            17.98
241.81            8.59            55.97            17.81
242.22            8.64            56.59            21.07
242.63            8.69            56.60            21.13
243.03            8.50            56.45            21.28
243.44            8.54            56.46            21.21
243.85            8.54            56.50            21.03
244.25            8.40            56.49            21.40
244.66            8.69            56.51            21.25
245.06            8.59            56.47            20.89
245.47            8.64            56.53            21.01
245.88            8.50            56.44            21.07
246.28            8.59            56.51            21.12
246.69            8.54            56.52            20.69
247.10            8.64            56.53            21.50
247.50            8.50            56.51            20.49
247.91            8.64            56.53            20.61
248.32            8.35            56.49            20.73
248.72            8.50            56.49            21.14
249.13            8.35            56.53            20.64
249.54            8.50            56.49            20.10
249.94            8.50            56.48            21.42
250.35            8.40            56.79            23.05
250.76            8.45            57.05            24.95
251.16            8.54            56.96            24.52
251.57            8.35            56.98            24.52
251.97            8.11            56.98            24.05
252.38            8.50            57.00            24.66
252.79            8.25            56.99            24.19
253.19            8.54            57.00            24.55
253.60            8.35            57.00            24.45
254.01            8.11            57.00            24.76
254.41            8.35            56.95            24.57
254.82            8.20            56.98            24.49
255.23            8.35            56.93            24.60
255.63            8.25            57.03            24.79
256.04            8.15            57.02            23.98
256.45            8.11            57.00            24.03
256.85            8.15            57.48            29.12
257.26            8.20            57.47            28.62
257.66            8.15            57.45            28.37
258.07            8.25            57.44            28.70
258.48            8.25            57.48            28.53
258.88            8.01            57.49            28.48
259.29            8.15            57.48            28.21
259.70            8.25            57.46            28.73
260.10            8.15            57.43            28.41
260.51            7.96            57.53            27.79
260.92            8.35            57.45            27.52
261.32            8.06            57.48            28.47
261.73            8.25            57.49            28.95
262.14            8.01            57.52            28.78
262.54            8.11            57.46            28.30
262.95            8.20            57.44            28.21
263.35            8.35            57.49            28.39
263.76            7.86            57.48            28.43
264.17            8.15            57.47            28.57
264.57            7.96            57.43            28.12
264.98            7.86            57.48            28.84
265.39            8.30            57.47            28.08
265.79            8.20            57.51            28.58
266.20            8.20            57.52            27.81
266.61            7.91            57.48            28.40
267.01            8.15            57.48            27.48
267.42            8.06            57.48            29.27
267.83            7.96            57.47            28.31
268.23            7.86            57.47            28.48
268.64            7.86            57.98            32.52
269.04            7.86            57.99            32.01
269.45            7.96            57.91            31.38
269.86            7.91            57.95            31.59
270.26            7.81            57.97            31.98
270.67            8.06            57.99            31.92
271.08            7.91            57.93            31.69
271.48            8.06            57.95            32.49
271.89            7.91            57.95            31.92
272.30            8.06            57.95            32.36
272.70            7.91            57.93            31.29
273.11            7.91            57.91            32.25
273.52            8.01            57.93            31.92
273.92            8.15            57.98            31.46
274.33            7.86            57.98            32.72
274.74            7.71            57.99            32.48
275.14            7.71            57.95            32.09
275.55            7.71            58.00            32.23
275.95            7.76            57.97            31.47
276.36            7.76            57.99            31.23
276.77            7.67            57.98            31.88
277.17            7.76            58.01            32.13
277.58            7.67            57.92            31.22
277.99            7.71            57.95            31.67
278.39            7.52            57.96            31.73
278.80            7.57            57.98            32.92
279.21            7.62            58.48            36.30
279.61            7.81            58.41            36.03
280.02            7.91            58.43            35.33
280.43            7.57            58.48            36.01
280.83            7.76            58.45            36.36
281.24            7.86            58.42            35.64
281.65            7.76            58.43            36.12
282.05            7.57            58.45            35.86
282.46            7.76            58.43            35.69
282.86            7.67            58.42            35.28
283.27            7.52            58.46            34.58
283.68            7.62            58.43            36.16
284.08            7.62            58.47            35.08
284.49            7.91            58.42            35.07
284.90            7.67            58.47            35.31
285.30            7.32            58.45            35.07
285.71            7.42            58.44            35.97
286.12            7.62            58.44            35.71
286.52            7.62            58.42            35.59
286.93            7.47            58.44            34.49
287.34            7.52            58.46            34.86
287.74            7.62            58.41            35.38
288.15            7.67            58.46            35.33
288.56            7.32            58.49            35.25
288.96            7.47            58.43            35.55
289.37            7.52            58.42            34.58
289.77            7.47            58.47            36.36
290.18            7.42            58.42            35.55
290.59            7.62            58.52            35.51
290.99            7.62            58.43            34.85
291.40            7.47            58.44            35.71
291.81            7.52            58.43            35.63
292.21            7.37            58.42            35.29
292.62            7.52            58.44            34.62
293.03            7.47            58.43            35.37
293.43            7.52            58.46            35.00
293.84            7.47            58.45            34.84
294.25            7.32            58.47            35.14
294.65            7.47            58.47            36.13
295.06            7.18            58.45            35.68
295.46            7.37            58.43            35.73
295.87            7.52            58.43            35.16
296.28            7.37            58.44            35.47
296.68            7.47            58.50            34.38
297.09            7.23            58.47            34.46
297.50            7.23            58.44            35.29
297.90            7.18            58.44            34.80
298.31            7.42            58.49            35.21
298.72            7.23            58.43            35.38
299.12            7.13            58.48            35.03
299.53            7.37            58.44            35.56
299.94            7.23            58.45            36.35
300.34            7.18            58.44            35.32
300.75            7.28            58.45            36.22
301.16            7.32            58.44            35.01
301.56            7.32            58.46            35.11
301.97            7.37            58.86            37.09
302.37            7.42            58.99            38.32
302.78            7.03            58.92            38.86
303.19            7.28            58.92            38.64
303.59            7.13            58.91            38.59
304.00            7.28            58.92            38.58
304.41            7.47            58.88            38.67
304.81            7.32            58.91            38.12
305.22            7.18            58.90            38.45
305.63            7.08            58.93            38.92
306.03            7.23            58.94            38.11
306.44            7.08            58.90            38.33
306.85            7.23            58.91            38.33
307.25            7.28            58.93            38.12
307.66            7.28            58.90            38.27
308.07            7.13            58.91            38.85
308.47            6.98            58.94            38.37
308.88            7.23            58.93            37.76
309.28            7.23            58.88            37.96
309.69            7.28            59.90            40.09
310.10            7.03            59.89            40.18
310.50            7.13            59.87            40.16
310.91            6.98            59.88            40.17
311.32            7.13            59.87            40.16
311.72            7.23            59.92            40.20
312.13            7.03            59.90            40.12
312.54            7.13            59.88            40.16
312.94            6.79            59.90            40.18
313.35            7.13            59.90            40.20
313.76            6.98            59.93            40.17
314.16            7.18            59.90            40.18
314.57            6.98            59.88            40.16
314.98            6.74            59.88            40.14
315.38            6.84            59.90            40.20
315.79            7.13            59.92            40.15
316.19            6.98            59.91            40.16
316.60            7.03            59.91            40.16
317.01            6.84            59.96            40.17
317.41            6.93            59.86            40.18
317.82            7.13            59.91            40.04
318.23            7.03            59.89            40.15
318.63            7.13            59.93            40.13
319.04            6.93            59.91            40.13
319.45            7.08            59.90            40.16
319.85            6.98            59.91            40.17
320.26            6.93            59.88            40.12
320.67            7.03            59.96            40.15
321.07            6.93            59.89            40.17
321.48            7.18            59.89            40.17
321.89            6.88            59.91            40.16
322.29            6.93            59.93            40.18
322.70            7.03            59.90            40.11
323.10            6.93            59.90            40.16
323.51            6.88            59.89            40.17
323.92            6.98            59.90            40.18
324.32            6.88            59.88            40.13
324.73            6.88            59.90            40.13
325.14            6.79            59.91            40.18
325.54            6.98            59.93            40.15
325.95            6.98            59.87            40.15
326.36            6.74            59.90            40.13
326.76            6.93            59.93            40.18
327.17            6.93            59.92            40.15
327.58            6.84            59.92            40.16
327.98            6.93            59.89            40.06
328.39            6.84            59.92            40.15
328.80            6.74            59.93            40.17
329.20            7.03            59.89            40.15
329.61            6.79            59.92            40.16
330.01            6.74            59.92            40.15
330.42            6.84            59.92            40.18
330.83            6.69            59.93            40.13
331.23            6.69            59.90            40.17
331.64            6.59            59.88            40.16
332.05            6.49            59.91            40.19
332.45            6.98            59.92            40.14
332.86            6.69            59.90            40.08
333.27            6.88            59.90            40.15
333.67            6.69            59.95            40.18
334.08            6.69            59.89            40.15
334.49            6.59            59.88            40.13
334.89            6.93            59.92            40.16
335.30            6.88            59.92            40.18
335.70            6.59            59.95            40.14
336.11            6.64            59.87            40.16
336.52            6.64            59.92            40.08
336.92            6.49            59.91            40.18
337.33            6.64            59.96            40.12
337.74            6.79            59.90            40.14
338.14            6.54            59.91            40.09
338.55            6.35            59.91            39.97
338.96            6.69            59.89            40.17
