Tiempo (s)  Temperatura (C)  Voltaje HV (V)   Corriente SiPM
73.45            30.47            45.47            0.94
73.86            30.57            45.45            0.69
74.27            30.57            45.38            0.79
74.67            30.27            45.39            0.81
75.08            30.37            45.41            0.84
75.48            30.62            45.37            0.79
75.89            30.47            45.40            0.83
76.30            30.42            45.40            0.83
76.70            30.57            45.38            0.84
77.11            30.71            45.39            0.84
77.52            30.52            46.03            0.84
77.92            30.71            45.84            0.79
78.33            30.57            45.82            0.91
78.74            30.32            45.83            0.84
79.14            30.66            45.86            0.90
79.55            30.52            45.85            0.89
79.95            30.62            45.87            0.85
80.36            30.66            45.87            0.88
80.77            30.37            45.85            0.84
81.17            30.18            45.86            0.86
81.58            30.22            45.89            0.91
81.99            30.52            46.46            0.93
82.39            30.52            46.34            0.77
82.80            30.57            46.34            0.80
83.21            30.27            46.35            0.79
83.61            30.71            46.34            0.91
84.02            30.66            46.33            0.82
84.43            30.22            46.34            0.86
84.83            30.62            46.34            0.77
85.24            30.47            46.33            0.78
85.65            30.52            46.37            0.79
86.05            30.47            46.34            0.78
86.46            30.42            46.33            0.77
86.86            30.62            46.36            0.90
87.27            30.22            46.34            0.90
87.68            30.32            46.35            0.88
88.08            30.32            46.36            0.84
88.49            30.47            46.35            0.81
88.90            30.62            46.36            0.83
89.30            30.42            46.35            0.84
89.71            30.52            46.33            0.85
90.12            30.42            46.34            0.83
90.52            30.27            46.32            0.83
90.93            30.47            46.34            0.82
91.33            30.71            46.33            0.84
91.74            30.37            46.34            0.83
92.15            30.47            46.36            0.81
92.55            30.57            46.33            0.81
92.96            30.52            46.35            0.79
93.37            30.37            46.36            0.80
93.77            30.47            46.35            0.75
94.18            30.47            46.35            0.79
94.59            30.42            46.36            0.78
94.99            30.27            46.34            0.79
95.40            30.57            46.35            0.86
95.81            30.47            46.35            0.83
96.21            30.62            46.35            0.79
96.62            30.57            46.35            0.81
97.02            30.47            46.36            0.77
97.43            30.47            46.35            0.79
97.84            30.47            46.34            0.79
98.24            30.42            46.35            0.72
98.65            30.52            46.35            0.81
99.06            30.66            46.34            0.71
99.46            30.62            46.35            0.72
99.87            30.37            46.37            0.72
100.27            30.32            46.35            0.75
100.68            30.27            46.35            0.80
101.09            30.13            46.33            0.83
101.49            30.62            46.37            0.85
101.90            30.32            46.37            0.89
102.31            30.37            46.36            0.86
102.71            30.66            46.36            0.86
103.12            30.52            46.35            0.77
103.53            30.66            46.36            0.86
103.93            30.52            46.39            0.86
104.34            30.52            46.35            0.88
104.75            30.27            46.34            0.81
105.15            30.22            46.34            0.86
105.56            30.37            46.35            0.91
105.97            30.52            46.33            0.91
106.37            30.57            46.35            0.90
106.78            30.47            46.53            1.44
107.19            30.66            46.97            0.90
107.59            30.71            46.77            0.88
108.00            30.27            46.83            0.85
108.40            30.42            46.80            0.89
108.81            30.13            46.82            0.86
109.22            30.47            46.83            0.89
109.62            30.32            46.85            0.90
110.03            30.32            46.85            0.91
110.44            30.18            46.84            0.87
110.84            30.18            46.84            0.89
111.25            30.42            47.36            1.20
111.66            30.71            47.43            0.86
112.06            30.37            47.26            0.89
112.47            30.32            47.32            0.88
112.88            29.83            47.28            0.93
115.30            30.22            47.33            1.69
118.73            30.47            47.43            1.21
119.14            30.22            47.43            1.09
119.55            30.27            47.43            1.13
119.95            30.22            48.01            1.10
120.36            30.37            47.98            1.03
120.77            30.47            47.86            1.12
121.17            30.13            47.88            1.10
121.58            30.37            47.88            1.15
121.99            30.32            47.90            1.21
122.39            30.42            47.89            1.10
122.80            30.27            47.92            1.07
123.21            30.32            47.89            1.13
123.61            30.18            47.91            1.16
124.02            30.27            47.89            1.09
124.43            30.52            48.32            1.64
124.83            30.18            48.50            1.15
125.24            30.47            48.35            1.13
125.64            30.57            48.38            1.16
126.05            30.81            48.38            1.13
126.46            30.52            48.40            1.12
126.86            30.27            48.38            1.06
127.27            30.42            48.36            1.08
127.68            30.08            48.38            1.12
128.08            30.37            48.39            1.09
128.49            30.27            48.38            1.04
128.90            30.27            48.37            1.12
129.30            30.22            48.41            0.99
129.71            30.47            48.38            1.03
130.12            30.81            48.40            1.07
130.52            30.71            48.38            1.06
130.93            30.52            48.39            1.06
131.33            30.47            48.38            1.08
131.74            30.32            48.40            1.09
132.15            30.71            48.41            1.07
132.55            30.62            48.37            1.05
132.96            30.18            48.40            1.06
133.37            30.27            48.39            1.05
133.77            30.47            48.39            1.02
134.18            29.98            48.38            1.05
136.61            30.47            48.80            1.58
140.04            30.42            48.87            1.15
140.44            30.27            48.91            1.08
140.85            30.42            48.90            1.12
141.26            30.18            48.90            1.04
141.66            30.32            48.89            1.04
142.07            30.13            48.88            1.08
142.48            30.22            48.89            1.07
142.88            30.32            48.90            1.05
143.29            30.27            48.87            0.99
143.70            30.37            48.90            1.01
144.10            30.42            48.89            1.05
144.51            30.32            48.89            1.03
144.92            30.62            48.91            1.00
145.32            30.47            48.88            1.04
145.73            30.27            48.90            1.03
146.14            30.52            48.89            0.94
146.54            30.13            48.87            1.04
146.95            30.42            48.89            0.99
147.35            30.52            49.47            1.06
147.76            30.27            49.45            1.05
148.17            30.52            49.33            1.09
148.57            30.18            49.35            1.06
148.98            30.27            49.38            1.03
149.39            30.13            49.35            1.12
149.79            30.32            49.37            1.03
150.20            30.22            49.37            1.10
150.61            30.03            49.34            1.11
151.01            30.57            49.37            1.11
151.42            30.47            49.37            1.05
151.83            30.37            49.37            0.92
152.23            30.71            49.36            1.04
152.64            30.66            49.94            1.11
153.04            30.57            49.83            1.05
153.45            30.57            49.80            1.05
153.86            30.37            49.84            1.03
154.26            30.32            49.85            0.97
154.67            30.37            49.85            0.94
155.08            30.57            49.85            0.97
155.48            30.42            49.84            1.03
155.89            30.13            49.86            0.98
156.30            30.22            49.85            1.02
156.70            30.42            49.86            1.04
157.11            30.52            49.85            1.04
157.52            30.32            49.86            1.02
157.92            30.18            49.87            0.98
158.33            30.32            49.84            0.96
158.74            30.22            49.87            0.97
159.14            30.22            49.85            1.01
159.55            30.37            49.86            1.04
159.95            30.32            49.88            1.06
160.36            30.13            49.85            1.06
160.77            30.37            49.85            1.07
161.17            30.32            49.84            1.08
161.58            30.18            49.86            1.12
161.99            30.37            49.85            1.05
162.39            30.27            49.87            1.03
162.80            30.32            49.84            1.08
163.21            30.42            49.85            1.04
163.61            30.42            49.83            1.04
164.02            30.18            49.86            1.05
164.43            30.37            49.84            1.09
164.83            30.32            49.88            1.10
165.24            30.13            49.85            1.02
165.65            30.27            49.86            1.03
166.05            30.52            49.86            1.06
166.46            30.13            50.47            1.06
166.86            30.22            50.43            0.98
167.27            30.13            50.32            1.04
167.68            30.27            50.34            1.01
168.08            30.03            50.35            1.00
168.49            30.27            50.31            1.04
168.90            30.18            50.36            1.07
169.30            30.08            50.33            1.05
169.71            30.18            50.34            1.04
170.12            30.32            50.34            0.99
170.52            30.08            50.35            1.03
170.93            30.22            50.34            1.04
171.34            30.22            50.36            1.05
171.74            29.88            50.36            1.07
174.17            29.98            50.70            1.51
174.58            30.13            50.70            1.57
178.01            30.13            51.40            1.11
178.41            30.18            51.39            0.96
178.82            30.13            51.31            1.03
179.23            30.22            51.29            1.03
179.63            30.42            51.31            1.07
180.04            30.27            51.29            1.13
180.45            30.13            51.32            1.09
180.85            30.13            51.32            1.01
181.26            30.03            51.31            1.03
181.67            30.66            51.32            1.09
182.07            30.32            51.31            1.06
182.48            30.22            51.88            1.23
182.88            30.13            51.91            1.00
183.29            30.03            51.77            1.09
183.70            30.37            51.81            1.08
184.10            30.27            51.81            1.04
184.51            30.03            51.78            1.06
184.92            30.08            51.81            1.06
185.32            30.13            51.81            1.07
185.73            29.98            51.82            0.98
188.16            30.18            51.73            1.58
191.59            30.27            52.31            1.23
192.00            30.03            52.29            1.16
192.40            30.32            52.28            1.16
192.81            30.08            52.32            1.10
193.21            30.22            52.28            1.07
193.62            30.18            52.28            1.04
194.03            30.27            52.32            1.06
194.43            30.42            52.31            1.07
194.84            30.37            52.27            1.10
195.25            30.22            52.27            1.02
195.65            30.27            52.30            1.09
196.06            30.18            52.31            1.11
196.47            30.08            52.28            1.12
196.87            30.27            52.33            1.04
197.28            30.27            52.86            1.80
197.69            30.13            52.88            1.70
198.09            30.22            52.75            1.39
198.50            30.71            52.74            1.41
198.90            30.32            52.78            1.44
199.31            30.37            52.78            1.41
199.72            29.98            52.78            1.35
202.15            30.27            52.72            1.80
205.58            30.27            53.23            4.33
205.98            30.18            53.23            4.62
206.39            30.32            53.27            4.50
206.80            30.42            53.31            4.57
207.20            30.03            53.31            4.54
207.61            30.18            53.26            4.68
208.02            30.42            53.27            4.62
208.42            30.18            53.31            4.61
208.83            30.52            53.27            4.66
209.23            30.13            53.27            4.64
209.64            30.47            53.28            4.41
210.05            30.37            53.32            4.67
210.45            30.62            53.25            4.71
210.86            30.37            53.30            4.72
211.27            30.62            53.26            4.85
211.67            30.47            53.83            10.39
212.08            30.42            53.85            10.86
212.49            30.13            53.76            10.10
212.89            30.47            53.76            9.71
213.30            30.32            53.78            9.64
213.71            30.27            53.80            9.90
214.11            30.52            53.79            9.77
214.52            30.18            53.76            10.01
214.93            30.32            53.80            9.92
215.33            30.71            53.82            9.59
215.74            30.18            53.74            9.72
216.14            30.32            53.78            9.79
216.55            30.37            53.77            10.15
216.96            30.18            53.79            9.68
217.36            30.37            53.80            9.76
217.77            30.18            53.75            9.95
218.18            30.42            53.82            9.84
218.58            30.37            53.78            10.15
218.99            30.32            53.76            9.96
219.40            30.27            53.79            9.95
219.80            30.42            54.34            17.59
220.21            30.42            54.34            17.87
220.62            30.71            54.22            16.22
221.02            30.47            54.26            16.27
221.43            30.27            54.24            16.41
221.84            30.27            54.29            16.36
222.24            30.57            54.21            16.75
222.65            30.52            54.29            16.66
223.06            30.37            54.21            16.66
223.46            30.32            54.24            16.72
223.87            30.13            54.29            16.58
224.28            30.57            54.27            16.62
224.68            30.62            54.24            16.44
225.09            30.27            54.31            16.53
225.50            30.66            54.25            16.76
225.90            30.42            54.28            16.43
226.31            30.47            54.31            16.65
226.71            30.62            54.82            24.89
227.12            30.22            54.73            23.31
227.53            30.47            54.73            23.95
227.93            30.57            54.74            23.70
228.34            30.27            54.77            23.94
228.75            30.47            54.74            23.94
229.15            30.57            54.78            23.95
229.56            30.47            54.76            24.15
229.97            30.62            54.77            23.83
230.37            30.52            54.77            23.99
230.78            30.47            54.76            23.92
231.19            30.71            54.78            24.04
231.59            30.62            54.76            23.93
232.00            30.32            54.76            24.15
232.40            30.42            54.74            24.27
232.81            30.57            54.80            23.90
233.22            30.66            54.75            24.33
233.62            30.27            54.76            23.92
234.03            30.27            55.29            32.65
234.44            30.47            55.31            33.13
234.84            30.32            55.21            31.49
235.25            30.27            55.29            31.42
235.66            30.08            55.22            31.49
236.06            30.32            55.24            31.70
236.47            30.18            55.25            31.53
236.88            30.47            55.25            32.11
237.28            30.47            55.26            31.84
237.69            30.22            55.25            31.96
238.10            30.22            55.22            32.13
238.50            30.47            55.24            32.01
238.91            30.37            55.27            31.55
239.32            30.22            55.27            31.74
239.72            30.32            55.24            31.81
240.13            30.57            55.82            38.95
240.54            30.57            55.68            38.47
240.94            30.22            55.70            38.63
241.35            30.57            55.72            39.05
241.76            30.62            55.71            38.84
242.16            30.27            55.75            38.54
242.57            30.32            55.72            38.53
242.97            30.18            55.72            38.80
243.38            30.71            55.72            38.25
243.79            30.32            55.70            38.62
244.19            30.52            55.71            38.56
244.60            30.52            55.74            38.30
245.01            30.81            55.71            38.83
245.41            30.32            55.76            39.18
245.82            30.37            55.76            39.04
246.23            30.27            55.71            38.55
246.63            30.32            55.74            38.85
247.04            30.76            56.02            39.23
247.45            30.47            56.28            40.23
247.85            30.32            56.20            40.27
248.26            30.57            56.20            40.25
248.67            30.42            56.20            40.26
249.07            30.03            56.20            40.25
249.48            30.42            56.21            40.28
249.89            30.32            56.22            40.25
250.29            30.18            56.21            40.26
250.70            30.71            56.20            40.26
251.11            30.76            56.24            40.25
251.51            30.08            56.22            40.24
251.92            30.18            56.22            40.23
252.32            30.27            56.73            40.23
252.73            30.22            56.78            40.20
253.14            30.32            56.70            40.20
253.54            30.42            56.70            40.20
253.95            30.27            56.70            40.20
254.36            30.27            56.69            40.21
254.76            30.18            56.69            40.20
255.17            30.27            56.70            40.19
255.58            30.22            56.74            40.20
255.98            30.32            56.74            40.20
256.39            30.37            56.73            40.19
256.80            30.08            56.73            40.20
257.20            30.57            56.72            40.20
257.61            30.42            56.73            40.21
258.02            30.13            56.69            40.19
258.42            30.22            56.72            40.20
258.83            30.57            56.72            40.19
259.23            30.37            57.24            40.19
259.64            30.42            57.15            40.19
260.05            30.32            57.17            40.19
260.45            30.22            57.15            40.21
260.86            30.62            57.16            40.18
261.27            29.83            57.16            40.19
263.70            30.27            57.05            40.10
267.13            30.22            57.18            40.20
267.53            30.42            57.21            40.19
267.94            30.18            57.19            40.19
268.35            30.22            57.17            40.17
268.75            30.13            57.18            40.18
269.16            30.42            57.19            40.20
269.57            30.27            57.18            40.19
269.97            30.13            57.29            40.18
270.38            29.93            57.75            40.19
272.81            30.37            57.54            40.11
276.24            30.42            58.20            40.19
276.64            30.32            58.14            40.18
277.05            29.93            58.14            40.18
279.48            30.13            58.08            40.08
282.91            30.37            58.64            40.16
283.32            30.37            58.65            40.17
283.72            30.37            58.69            40.17
284.13            30.18            58.64            40.14
284.54            30.42            58.68            40.16
284.94            30.42            58.69            40.16
285.35            30.57            58.67            40.18
285.76            30.22            58.66            40.16
286.16            30.57            58.62            40.18
286.57            30.27            58.67            40.17
286.97            30.18            58.67            40.15
287.38            30.57            58.68            40.18
287.79            29.98            58.66            40.15
290.22            30.47            59.02            40.08
293.65            30.22            59.14            40.14
294.05            30.22            59.15            40.15
294.46            30.96            59.13            40.16
294.87            30.57            59.14            40.15
295.27            30.52            59.15            40.16
295.68            30.91            59.14            40.15
296.09            30.32            59.13            40.15
296.49            30.18            59.13            40.16
296.90            30.42            59.15            40.17
297.31            30.81            59.15            40.14
297.71            30.32            59.13            40.16
298.12            30.47            59.16            40.16
298.53            30.52            59.16            40.17
298.93            30.37            59.12            40.16
299.34            30.27            59.68            40.16
299.75            30.57            59.67            40.15
300.15            30.52            59.63            40.15
300.56            30.42            59.61            40.15
300.96            30.52            59.65            40.16
301.37            30.47            59.65            40.15
301.78            30.52            59.62            40.14
302.18            30.52            59.63            40.15
302.59            30.57            59.65            40.16
303.00            30.37            59.64            40.14
303.40            30.37            59.61            40.13
303.81            30.66            59.65            40.15
304.22            30.76            59.66            40.17
304.62            30.66            59.64            40.16
305.03            30.47            59.64            40.15
305.44            30.62            59.65            40.14
305.84            30.62            59.66            40.16
306.25            30.81            59.63            40.14
306.66            30.66            60.19            40.14
307.06            30.76            60.13            40.15
307.47            30.47            60.12            40.16
307.88            30.57            60.11            40.15
308.28            30.62            60.11            40.15
308.69            30.71            60.13            40.16
309.10            30.71            60.12            40.13
309.50            30.22            60.12            40.15
309.91            30.66            60.12            40.15
310.32            30.81            60.15            40.16
310.72            30.66            60.11            40.13
311.13            30.86            60.17            40.15
311.53            30.71            60.13            40.16
311.94            30.86            60.12            40.16
312.35            30.47            60.10            40.16
312.75            30.76            60.13            40.15
313.16            30.86            60.11            40.15
313.57            30.71            60.17            40.14
313.97            30.52            60.13            40.15
314.38            30.71            60.17            40.16
314.79            30.62            60.15            40.14
315.19            30.71            60.13            40.13
315.60            30.81            60.12            40.14
316.01            30.47            60.17            40.16
316.41            30.86            60.14            40.15
316.82            30.13            60.13            40.15
317.22            30.96            60.15            40.16
317.63            30.57            60.14            40.16
318.04            30.76            60.15            40.13
318.44            30.32            60.15            40.14
318.85            30.71            60.14            40.14
319.26            30.52            60.15            40.14
319.66            30.91            60.10            40.13
320.07            30.81            60.14            40.14
320.48            30.86            60.15            40.15
320.88            30.52            60.13            40.14
321.29            30.71            60.11            40.14
321.70            30.71            60.15            40.16
322.10            30.71            60.14            40.16
322.51            30.47            60.15            40.14
322.92            30.52            60.14            40.16
323.32            30.62            60.12            40.14
323.73            30.91            60.13            40.14
324.14            30.52            60.13            40.13
324.54            30.57            60.14            40.15
324.95            30.66            60.18            40.14
325.36            30.66            60.15            40.15
