Tiempo (s)  Temperatura (C)  Voltaje HV (V)   Corriente SiPM
173.54            30.47            59.10            40.18
173.95            30.66            59.55            40.17
174.35            30.81            60.12            40.18
174.76            30.57            60.09            40.19
175.17            30.32            60.04            40.17
175.57            30.18            60.06            40.18
175.98            30.52            60.07            40.18
176.39            30.37            60.07            40.18
176.79            30.37            60.06            40.19
177.20            30.42            60.08            40.20
177.60            30.57            60.10            40.18
178.01            30.37            60.11            40.16
178.42            30.37            60.06            40.18
178.82            30.32            60.06            40.16
179.23            30.42            60.07            40.17
179.64            30.81            60.06            40.16
180.04            30.52            60.09            40.18
180.45            30.22            60.11            40.19
180.86            30.52            60.11            40.19
181.26            30.62            60.06            40.16
181.67            29.93            60.08            40.18
184.10            30.47            59.97            40.11
187.53            30.57            60.07            40.17
187.93            30.13            60.09            40.17
188.34            30.37            60.09            40.16
188.75            30.18            60.08            40.16
189.15            30.27            60.09            40.17
189.56            30.57            60.07            40.17
189.97            30.37            60.07            40.17
190.37            30.42            60.07            40.18
190.78            30.76            60.11            40.18
191.19            30.47            60.11            40.16
191.59            30.42            60.07            40.16
192.00            30.52            60.08            40.18
192.41            30.13            60.08            40.18
192.81            30.03            60.06            40.16
193.22            30.18            60.09            40.16
193.63            30.37            60.10            40.17
194.03            30.42            60.11            40.17
194.44            30.52            60.11            40.16
194.85            30.37            60.07            40.17
195.25            30.13            60.08            40.17
195.66            30.37            60.07            40.18
196.07            30.13            60.06            40.17
196.47            30.52            60.08            40.18
196.88            30.96            60.08            40.17
197.28            30.42            60.08            40.15
197.69            30.47            60.08            40.17
198.10            30.37            60.07            40.17
198.50            30.42            60.08            40.17
198.91            30.57            60.09            40.17
199.32            30.18            60.09            40.17
199.72            30.47            60.09            40.16
200.13            30.57            60.10            40.17
200.54            30.37            60.06            40.15
200.94            30.47            60.08            40.18
201.35            30.22            60.09            40.16
201.76            30.66            60.08            40.17
202.16            30.37            60.07            40.16
202.57            30.47            60.10            40.16
202.98            30.08            60.09            40.17
203.38            30.47            60.10            40.16
203.79            30.32            60.09            40.17
204.19            30.22            60.08            40.16
204.60            30.27            60.09            40.16
205.01            30.47            60.08            40.17
205.41            30.32            60.08            40.17
205.82            30.47            60.10            40.17
206.23            30.42            60.11            40.16
206.63            30.08            60.04            40.14
207.04            30.62            60.10            40.16
207.45            30.27            60.08            40.17
207.85            30.32            60.07            40.17
208.26            30.52            60.08            40.15
208.67            30.42            60.08            40.18
209.07            30.32            60.07            40.15
209.48            30.27            60.08            40.16
209.89            30.13            60.09            40.16
210.29            30.13            60.09            40.18
210.70            30.32            60.08            40.17
211.11            30.32            60.08            40.15
