Tiempo (s)  Temperatura (C)  Voltaje HV (V)   Corriente SiPM
52.42            20.26            44.46            1.49
52.83            20.36            44.49            1.31
53.24            20.36            44.45            1.18
53.64            20.17            44.39            0.94
54.05            20.07            44.42            0.97
54.46            19.92            44.48            1.11
56.88            20.12            44.96            6.65
60.31            20.36            44.90            1.42
60.72            20.12            44.99            1.68
61.13            20.46            44.95            1.37
61.53            20.12            44.91            1.47
61.94            20.12            44.91            1.06
62.35            20.17            44.91            1.14
62.75            20.36            44.94            1.08
63.16            20.26            44.89            0.98
63.57            20.12            44.94            1.18
63.97            20.31            44.93            1.17
64.38            20.02            44.96            1.22
64.78            19.97            44.92            1.15
67.21            20.31            45.47            5.34
70.64            20.21            45.41            1.24
71.05            20.12            45.43            1.56
71.46            20.12            45.43            0.97
71.86            20.46            45.41            1.43
72.27            20.17            45.42            1.28
72.68            20.07            45.40            1.12
73.08            20.07            45.42            1.03
73.49            20.12            45.45            1.03
73.89            20.51            45.43            1.14
74.30            19.87            45.40            1.25
76.73            20.46            45.80            6.39
80.16            20.51            45.88            1.98
80.57            20.41            45.92            1.35
80.97            20.21            46.51            1.48
81.38            20.26            46.50            1.27
81.79            20.21            46.35            1.33
82.19            20.21            46.33            1.02
82.60            20.26            46.33            1.13
83.01            20.17            46.35            0.94
83.41            20.41            46.34            1.02
83.82            20.51            46.36            0.85
84.22            20.31            46.40            1.01
84.63            20.46            46.40            0.89
85.04            20.31            46.41            0.81
85.44            20.41            46.39            1.00
85.85            20.26            46.37            0.76
86.26            20.31            46.38            0.79
86.66            20.31            46.39            0.76
87.07            20.51            46.96            0.80
87.48            20.31            46.97            1.31
87.88            20.17            46.85            0.75
88.29            20.36            46.84            0.63
88.69            20.21            46.83            0.80
89.10            20.41            46.88            1.21
89.51            20.56            46.83            1.48
89.91            20.51            46.87            0.73
90.32            20.46            46.90            1.35
90.73            20.41            46.90            0.67
91.13            20.46            46.89            0.65
91.54            20.61            46.90            0.40
91.95            20.36            46.87            0.68
92.35            20.21            47.50            1.43
92.76            20.31            47.33            0.86
93.16            20.41            47.30            1.25
93.57            20.56            47.33            1.60
93.98            20.26            47.32            0.59
94.38            20.21            47.32            1.66
94.79            20.61            47.33            1.58
95.20            20.56            47.36            0.43
95.60            20.17            47.35            0.52
96.01            20.31            47.32            0.83
96.42            20.61            47.37            0.72
96.82            20.41            47.34            0.87
97.23            20.26            47.32            0.53
97.63            20.41            47.34            0.31
98.04            20.31            47.34            0.63
98.45            20.36            47.36            1.03
98.85            20.26            47.33            1.19
99.26            20.41            48.01            1.17
99.67            20.26            47.86            0.67
100.07            20.31            47.80            1.59
100.48            20.12            47.84            0.71
100.89            20.36            47.82            0.97
101.29            20.26            47.83            1.05
101.70            20.41            47.86            1.33
102.11            20.36            47.84            1.34
102.51            20.36            47.82            1.06
102.92            20.26            47.85            0.70
103.33            20.46            47.85            1.33
103.73            20.12            47.88            0.46
104.14            20.41            47.81            1.89
104.55            20.21            47.84            0.54
104.95            20.41            47.80            0.87
105.36            20.31            47.82            1.39
105.76            20.26            47.82            0.64
106.17            20.36            47.86            1.18
106.58            20.26            47.89            0.48
106.98            20.41            47.80            1.10
107.39            20.12            47.82            0.40
107.80            20.36            47.84            0.43
108.20            20.46            48.43            1.17
108.61            20.46            48.38            0.56
109.02            20.70            48.32            0.80
109.42            20.12            48.37            1.52
109.83            20.26            48.38            1.11
110.24            20.41            48.33            0.53
110.64            20.17            48.29            1.42
111.05            20.36            48.33            0.55
111.45            20.07            48.40            1.32
111.86            20.07            48.31            1.26
112.27            20.21            48.32            1.79
112.67            20.26            48.35            1.62
113.08            20.02            48.35            0.52
113.49            20.02            48.36            1.59
113.89            20.26            48.38            0.55
114.30            20.21            48.36            1.65
114.71            20.21            48.36            0.85
115.11            20.12            48.35            1.59
115.52            20.26            48.32            1.42
115.93            20.12            48.33            0.52
116.33            20.07            48.92            1.23
116.74            20.17            48.80            0.81
117.15            20.36            48.80            0.48
117.55            20.12            48.83            0.93
117.96            20.07            48.83            1.26
118.37            20.41            48.84            0.85
118.77            19.97            48.84            0.71
121.20            20.02            48.72            6.76
124.63            19.97            49.29            0.91
127.06            19.87            49.20            5.74
127.47            19.82            49.23            4.04
127.87            20.17            49.23            5.41
131.30            20.36            49.80            2.51
131.71            20.12            49.83            1.23
132.12            20.31            49.77            1.70
132.52            20.17            49.81            1.41
132.93            20.26            49.85            0.95
133.33            19.73            49.81            1.24
135.76            20.17            49.73            5.05
139.19            20.21            50.32            2.05
139.60            20.65            50.27            1.92
140.01            20.41            50.25            1.20
140.41            20.17            50.26            1.46
140.82            20.31            50.24            1.59
141.23            20.12            50.24            1.53
141.63            20.31            50.34            1.14
142.04            20.17            50.29            1.10
142.45            20.21            50.28            1.23
142.85            20.26            50.29            1.20
143.26            20.26            50.30            1.01
143.66            20.65            50.32            1.25
144.07            20.46            50.28            1.05
144.48            20.31            50.30            1.33
144.88            20.36            50.28            1.23
145.29            19.92            50.31            1.25
147.72            20.41            50.49            7.45
151.15            20.36            50.82            1.15
151.56            20.41            50.77            1.57
151.96            20.46            50.77            1.38
152.37            20.36            50.77            1.18
152.78            20.46            50.78            1.34
153.18            20.51            50.78            1.17
153.59            20.41            50.79            1.20
153.99            20.61            50.77            1.23
154.40            20.36            50.79            1.15
154.81            20.70            50.77            1.17
155.21            20.61            50.78            1.09
155.62            20.75            50.79            0.83
156.03            20.56            50.75            0.98
156.43            20.41            50.81            0.91
156.84            20.31            50.78            1.28
157.25            20.31            50.78            0.87
157.65            20.70            50.80            1.29
158.06            20.31            50.72            1.61
158.47            20.41            50.77            1.28
158.87            20.46            50.76            1.66
159.28            20.56            50.76            1.11
159.68            20.31            50.73            1.12
160.09            20.26            50.79            1.00
160.50            20.36            50.79            0.94
160.90            20.56            50.78            1.35
161.31            20.46            50.79            0.66
161.72            20.65            50.79            1.23
162.12            20.61            50.79            0.60
162.53            20.41            50.76            1.02
162.94            20.61            50.80            0.83
163.34            20.65            50.77            0.65
163.75            20.51            50.74            1.18
164.16            20.26            50.79            0.80
164.56            20.41            50.80            1.19
164.97            20.46            50.75            1.43
165.37            20.12            50.74            0.62
165.78            20.31            50.80            1.51
166.19            20.31            50.79            0.72
166.59            20.46            50.78            0.64
167.00            20.31            50.75            1.44
167.41            20.51            50.79            0.37
167.81            20.46            51.34            1.49
168.22            20.41            51.31            0.70
168.63            20.56            51.25            0.66
169.03            20.41            51.28            1.35
169.44            20.46            51.28            0.66
169.85            20.46            51.25            1.88
170.25            20.61            51.23            1.32
170.66            20.51            51.32            1.32
171.07            20.41            51.29            1.49
171.47            20.41            51.28            0.80
171.88            20.65            51.26            0.61
172.28            20.21            51.29            1.06
172.69            20.26            51.31            0.77
173.10            20.31            51.25            0.89
173.50            20.36            51.81            1.51
173.91            20.41            51.73            1.15
174.32            20.56            51.76            1.63
174.72            20.41            51.76            1.12
175.13            20.41            51.75            0.66
175.54            20.21            51.78            0.94
175.94            20.36            51.76            1.32
176.35            20.41            51.73            0.61
176.76            20.61            51.75            1.34
177.16            20.26            51.73            0.59
177.57            20.36            51.72            0.89
177.98            20.26            51.76            1.53
178.38            20.41            51.77            0.94
178.79            20.17            51.75            1.60
179.19            20.17            51.80            1.27
179.60            20.41            51.77            0.73
180.01            20.41            51.78            1.32
180.41            20.61            52.29            1.01
180.82            20.51            52.25            1.17
181.23            20.51            52.25            1.54
181.63            20.36            52.21            0.48
182.04            20.26            52.19            0.77
182.45            20.41            52.28            1.54
182.85            20.51            52.27            1.70
183.26            20.51            52.24            0.76
183.67            20.17            52.21            0.65
184.07            20.41            52.29            1.69
184.48            20.21            52.21            0.90
184.89            20.17            52.25            0.75
185.29            20.21            52.25            0.94
185.70            20.46            52.26            0.89
186.10            20.56            52.82            2.29
186.51            20.41            52.74            2.96
186.92            20.21            52.71            1.85
187.32            20.56            52.69            2.49
187.73            20.31            52.70            2.11
188.14            20.36            52.70            2.94
188.54            20.36            52.73            2.92
188.95            20.31            52.76            2.13
189.36            20.26            52.76            2.80
189.76            20.07            52.72            1.90
190.17            20.21            52.73            2.95
190.58            20.56            52.79            2.01
190.98            20.36            52.77            2.02
191.39            20.26            52.72            1.95
191.80            20.21            52.77            2.83
192.20            20.17            52.73            2.92
192.61            20.51            52.76            2.34
193.01            20.17            52.76            2.75
193.42            20.31            52.72            1.98
193.83            20.36            52.76            2.50
194.23            20.17            52.71            2.19
194.64            20.41            53.26            4.23
195.05            20.21            53.17            4.56
195.45            20.46            53.19            4.24
195.86            20.26            53.21            4.37
196.27            20.17            53.25            4.49
196.67            20.07            53.24            4.70
197.08            19.97            53.21            4.02
199.51            20.02            53.14            8.11
202.94            20.51            53.27            4.47
203.34            20.12            53.24            4.76
203.75            20.26            53.83            7.72
204.16            20.36            53.82            7.65
204.56            20.21            53.69            7.31
204.97            20.12            53.68            7.20
205.38            20.21            53.77            7.07
205.78            20.17            53.71            7.25
206.19            19.92            53.75            7.21
208.62            19.82            54.15            15.64
209.03            20.17            54.14            15.05
212.46            20.46            54.20            11.30
212.86            20.46            54.74            15.28
213.27            20.21            54.69            14.88
213.68            19.97            54.71            14.57
216.10            20.21            54.57            17.87
219.53            20.31            54.64            15.40
219.94            20.21            54.71            15.45
220.35            20.51            54.68            14.95
220.75            20.31            54.70            14.83
221.16            20.17            54.72            14.55
221.57            20.41            55.24            19.41
221.97            20.07            55.15            18.86
222.38            20.31            55.16            19.16
222.79            20.36            55.18            19.26
223.19            20.02            55.19            18.53
223.60            20.70            55.15            18.91
224.01            20.51            55.22            18.87
224.41            20.56            55.17            19.36
224.82            20.41            55.11            19.27
225.23            20.31            55.17            18.90
225.63            20.36            55.22            18.69
226.04            20.31            55.19            18.96
226.45            20.46            55.17            18.06
226.85            20.65            55.23            18.41
227.26            20.56            55.18            19.60
227.66            20.41            55.76            23.72
228.07            20.75            55.77            23.40
228.48            20.21            55.64            23.86
228.88            20.41            55.68            23.28
229.29            20.51            55.63            24.00
229.70            20.51            55.64            23.09
230.10            20.41            55.65            23.82
230.51            20.61            55.67            23.61
230.92            20.36            55.66            24.28
231.32            20.41            55.68            22.91
231.73            20.41            55.65            23.26
232.14            20.36            55.75            23.46
232.54            20.56            55.70            24.14
232.95            20.31            55.66            23.86
233.36            20.31            55.68            23.77
233.76            20.41            55.65            23.66
234.17            20.46            55.71            23.19
234.58            20.51            55.70            23.65
234.98            20.07            55.64            23.62
235.39            20.21            55.72            23.32
235.80            20.46            56.09            28.34
236.20            20.65            56.22            28.94
236.61            20.56            56.16            29.56
237.01            20.56            56.19            29.04
237.42            20.56            56.18            28.67
237.83            20.26            56.16            27.95
238.23            20.46            56.13            28.37
238.64            20.51            56.15            28.58
239.05            20.61            56.16            28.76
239.45            20.36            56.14            28.76
239.86            20.36            56.16            28.89
240.27            20.56            56.20            28.27
240.67            20.51            56.14            28.74
241.08            20.17            56.16            28.44
241.49            20.80            56.18            28.99
241.89            20.31            56.18            28.96
242.30            20.41            56.71            34.40
242.71            20.70            56.68            33.68
243.11            20.41            56.67            32.79
243.52            20.46            56.63            34.32
243.92            20.51            56.66            33.93
244.33            20.51            56.59            33.85
244.74            20.56            56.67            33.30
245.14            20.61            56.63            33.97
245.55            20.65            56.64            34.26
245.96            20.36            56.67            34.14
246.36            20.51            56.63            33.24
246.77            20.56            56.66            33.63
247.18            20.46            56.67            32.89
247.58            20.21            56.64            34.19
247.99            20.46            56.63            34.67
248.40            20.80            56.66            33.69
248.80            20.51            56.63            33.41
249.21            20.31            56.67            33.28
249.62            20.41            56.64            34.29
250.02            20.26            56.63            34.23
250.43            20.31            56.67            33.18
250.84            20.75            56.68            33.54
251.24            20.41            56.66            33.36
251.65            20.51            56.64            33.80
252.06            20.56            56.65            34.28
252.46            20.26            56.66            33.21
252.87            20.41            57.18            38.26
253.28            20.36            57.16            38.28
253.68            20.41            57.13            37.91
254.09            20.41            57.13            38.03
254.49            20.41            57.13            39.03
254.90            20.21            57.11            38.24
255.31            20.26            57.15            39.08
255.71            20.51            57.11            38.23
256.12            20.36            57.15            38.27
256.53            20.17            57.12            38.25
256.93            20.31            57.14            37.96
257.34            20.36            57.14            37.59
257.75            20.70            57.19            38.05
258.15            20.46            57.14            37.88
258.56            20.36            57.69            40.26
258.97            20.36            57.67            40.34
259.37            20.17            57.57            40.29
259.78            20.41            57.63            40.27
260.19            20.26            57.62            40.25
260.59            20.26            57.61            40.29
261.00            20.12            57.60            40.32
261.40            20.26            57.60            40.20
261.81            20.41            57.64            40.16
262.22            20.70            57.60            40.28
262.62            20.46            57.62            40.14
263.03            20.56            57.66            40.20
263.44            20.65            57.63            40.33
263.84            20.17            57.63            40.25
264.25            20.80            57.65            40.26
264.66            20.21            57.61            40.29
265.06            20.41            58.17            40.24
265.47            20.51            58.10            40.25
265.88            20.17            58.11            40.26
266.28            20.26            58.10            40.26
266.69            20.31            58.10            40.24
267.10            19.92            58.11            40.27
269.52            20.17            57.99            40.17
272.96            20.26            58.57            40.23
273.36            20.31            58.62            40.24
273.77            20.31            58.63            40.22
274.17            20.51            58.58            40.21
274.58            20.41            58.59            40.21
274.99            20.46            58.59            40.22
275.39            19.97            58.59            40.22
277.82            20.21            58.49            40.16
281.25            20.41            59.10            40.23
281.66            20.31            59.08            40.21
282.07            20.26            59.07            40.22
282.47            20.07            59.03            40.21
282.88            20.12            59.08            40.21
283.29            20.36            59.08            40.22
283.69            20.41            59.06            40.23
284.10            20.41            59.06            40.22
284.51            20.41            59.09            40.21
284.91            20.31            59.08            40.22
285.32            20.51            59.10            40.22
285.73            20.70            59.08            40.21
286.13            20.46            59.11            40.21
286.54            20.26            59.11            40.22
286.94            20.12            59.11            40.21
287.35            20.26            59.12            40.21
287.76            20.41            59.11            40.23
288.16            20.31            59.10            40.21
288.57            20.36            59.09            40.20
288.98            20.56            59.08            40.21
289.38            20.56            59.08            40.21
289.79            20.36            60.08            40.21
290.20            20.36            60.07            40.21
290.60            20.31            60.04            40.22
291.01            20.51            60.07            40.22
291.42            20.51            60.07            40.21
291.82            20.51            60.06            40.20
292.23            20.46            60.09            40.21
292.64            20.51            60.07            40.21
293.04            20.26            60.05            40.21
293.45            20.26            60.06            40.21
293.86            20.31            60.07            40.21
294.26            20.41            60.08            40.20
294.67            20.46            60.06            40.20
295.07            20.56            60.07            40.21
295.48            20.12            60.05            40.21
295.89            20.31            60.07            40.21
296.29            20.26            60.03            40.20
296.70            20.65            60.07            40.21
297.11            20.46            60.07            40.21
297.51            20.41            60.09            40.19
297.92            20.26            60.06            40.22
298.33            20.61            60.08            40.21
298.73            20.31            60.05            40.21
299.14            20.46            60.05            40.19
299.55            20.36            60.06            40.21
299.95            20.41            60.06            40.21
300.36            20.46            60.06            40.21
300.77            20.36            60.05            40.19
301.17            20.36            60.06            40.21
