34363955 3965
# 1553303341
# 1553303341
6455098 3369
# 1553303342
# 1553303342
# 1553303343
# 1553303343
34139159 149
# 1553303344
# 1553303344
# 1553303345
# 1553303345
22464492 1209
37911453 3014
# 1553303346
# 1553303346
# 1553303347
# 1553303347
# 1553303348
# 1553303348
3389918 354
# 1553303349
# 1553303349
27183177 204
# 1553303350
# 1553303350
5959546 874
35302444 2668
# 1553303350
# 1553303350
32149276 476
# 1553303352
5645353 2710
# 1553303353
# 1553303353
37357739 3177
# 1553303354
# 1553303354
# 1553303355
# 1553303355
3067705 324
9981370 3108
15179384 3476
# 1553303356
# 1553303356
4702742 2262
# 1553303357
# 1553303357
# 1553303358
# 1553303358
2217271 334
10045778 379
14388563 378
18071500 2041
# 1553303359
# 1553303359
# 1553303359
# 1553303359
17508599 2994
# 1553303361
# 1553303361
21520270 180
# 1553303362
# 1553303362
6786067 3284
# 1553303363
# 1553303363
28875115 3540
31523188 5450
# 1553303363
# 1553303363
# 1553303365
# 1553303365
# 1553303366
# 1553303366
26447990 3054
# 1553303367
# 1553303367
7519597 2355
# 1553303368
# 1553303368
11566739 1919
27462911 2863
# 1553303368
# 1553303369
# 1553303370
# 1553303370
15942980 3005
36093628 227
# 1553303371
# 1553303371
# 1553303372
# 1553303372
# 1553303373
# 1553303373
26990730 1991
# 1553303373
# 1553303373
# 1553303375
# 1553303375
# 1553303376
# 1553303376
3944378 205
39996444 1968
# 1553303377
# 1553303377
24601516 3664
# 1553303378
# 1553303378
5731343 2682
# 1553303379
# 1553303379
29811867 648
# 1553303380
# 1553303380
# 1553303381
# 1553303381
# 1553303382
# 1553303382
36313893 295
# 1553303383
# 1553303383
5524794 321
# 1553303384
# 1553303384
21728635 653
37428694 834
# 1553303385
# 1553303385
# 1553303386
10564706 374
26001176 3181
# 1553303387
# 1553303387
22405547 199
# 1553303388
# 1553303388
14360324 3170
15452639 3681
39197549 1638
# 1553303389
# 1553303389
8434133 547
# 1553303390
# 1553303390
# 1553303391
# 1553303391
36012191 3279
# 1553303392
# 1553303392
2466184 1945
# 1553303393
# 1553303393
# 1553303394
# 1553303394
33528848 1755
# 1553303395
# 1553303395
# 1553303396
# 1553303396
# 1553303397
# 1553303397
20766558 229
23179207 591
# 1553303398
# 1553303398
290040 1070
2607108 2926
6941468 4500
# 1553303399
# 1553303399
# 1553303400
10916167 1665
# 1553303401
# 1553303401
# 1553303402
# 1553303402
11722509 2069
# 1553303403
# 1553303403
5942251 1582
# 1553303404
# 1553303404
24510454 301
# 1553303405
# 1553303405
8547655 3737
36416812 620
# 1553303406
# 1553303406
969360 436
32168700 3358
# 1553303406
# 1553303406
# 1553303408
# 1553303408
# 1553303409
# 1553303409
# 1553303410
965458 3588
2421657 3472
# 1553303411
# 1553303412
17689312 132
33061857 175
# 1553303413
# 1553303413
# 1553303414
# 1553303414
21120693 2819
# 1553303415
530912 4268
# 1553303416
# 1553303417
# 1553303417
15884655 1010
18166392 394
# 1553303418
# 1553303418
# 1553303419
# 1553303419
6003126 979
10430750 134
# 1553303420
14849531 291
# 1553303420
# 1553303420
# 1553303422
# 1553303422
26733702 235
# 1553303423
# 1553303423
11737375 3354
# 1553303424
# 1553303424
1093450 168
# 1553303425
# 1553303426
# 1553303426
5902125 3950
10451564 3891
# 1553303427
37847452 3052
# 1553303428
3215263 4781
23801697 2862
# 1553303429
# 1553303429
13926897 283
31504092 5440
35008999 983
# 1553303430
# 1553303430
5589040 4196
17830329 137
# 1553303431
# 1553303431
# 1553303432
# 1553303432
5293 763
# 1553303433
1374844 3268
3479715 3217
32123013 195
# 1553303434
6945269 204
17144390 155
# 1553303435
# 1553303435
4029339 2742
# 1553303436
4095159 3710
6577773 3182
# 1553303437
# 1553303438
# 1553303439
# 1553303440
# 1553303440
21948424 911
34548311 415
# 1553303441
# 1553303441
28805318 2981
# 1553303441
# 1553303443
# 1553303444
# 1553303444
# 1553303445
# 1553303445
15580159 96
# 1553303446
# 1553303446
31329490 2329
# 1553303446
# 1553303448
# 1553303448
# 1553303449
# 1553303449
# 1553303450
# 1553303450
# 1553303451
# 1553303451
