# Name = UIS1
# Version = 1.0
# Location = Universidad Industrial de Santander
# Sensors = Presion, Temperatura, Humedad, Irradiancia, Iluminancia, Ruido, LLuvia, CO2, NO2, Latitud, Longitud, Nubosidad
# Power = Red
# GPS = si
# Time Zone = UTC-5
# Data = UTCtime GPStime Presion Temperatura Humedad Irradiancia Iluminancia  Ruido Lluvia CO2 NO2 Latitud Longitud Nubosidad 
1500811264.0 66 115806.00	858.03	11.17	78.48	233.44	231.48	-0.00	0.00	309.94	0.00	0.00	0.00
1500811265.0 66 115806.00	856.81	11.17	75.47	233.44	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811266.0 66 115806.00	857.67	10.98	76.74	238.70	236.72	-0.00	0.00	309.94	0.00	0.00	0.00
1500811267.0 66 115806.00	857.67	10.98	72.15	235.20	232.78	-0.00	0.00	310.22	0.00	0.00	0.00
1500811268.0 66 115806.00	857.32	10.79	75.95	233.44	230.18	-0.00	0.00	309.89	0.00	0.00	0.00
1500811269.0 71 115806.00	857.67	10.98	75.47	238.70	234.09	-0.00	0.00	309.89	0.00	0.00	0.00
1500811270.0 71 115806.00	856.46	10.98	77.06	233.44	231.48	-0.00	0.00	309.94	0.00	0.00	0.00
1500811271.0 71 115806.00	856.97	10.61	74.53	235.20	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811272.0 71 115806.00	858.03	11.17	71.68	238.70	236.72	-0.00	0.00	310.17	0.00	0.00	0.00
1500811273.0 71 115806.00	857.32	10.79	74.05	235.20	232.78	-0.00	0.00	310.00	0.00	0.00	0.00
1500811274.0 71 115806.00	858.18	10.61	70.41	233.44	230.18	-0.00	0.00	309.83	0.00	0.00	0.00
1500811275.0 70 115806.00	857.67	10.98	71.20	238.70	238.04	-0.00	0.00	310.11	0.00	0.00	0.00
1500811276.0 70 115806.00	857.32	10.79	73.58	235.20	232.78	-0.00	0.00	310.00	0.00	0.00	0.00
1500811277.0 70 115806.00	857.67	10.98	73.73	238.70	236.72	-0.00	0.00	310.00	0.00	0.00	0.00
1500811278.0 70 115806.00	856.11	10.79	71.20	238.70	232.78	-0.00	0.00	310.17	0.00	0.00	0.00
1500811279.0 70 115806.00	857.32	10.79	67.56	236.95	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811280.0 70 115806.00	858.03	11.17	69.15	242.21	235.40	-0.00	0.00	310.34	0.00	0.00	0.00
1500811281.0 73 115806.00	858.53	10.79	72.63	236.95	231.48	-0.00	0.00	310.17	0.00	0.00	0.00
1500811282.0 73 115806.00	857.32	10.79	77.85	238.70	232.78	-2.33	0.00	309.89	0.00	0.00	0.00
1500811283.0 73 115806.00	856.97	10.61	75.32	238.70	234.09	-0.00	0.00	310.05	0.00	0.00	0.00
1500811284.0 73 115806.00	856.11	10.79	76.90	238.70	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811285.0 73 115806.00	856.46	10.98	71.36	242.21	242.03	0.68	0.00	310.00	0.00	0.00	0.00
1500811287.0 73 115806.00	858.18	10.61	70.89	238.70	232.78	-0.00	0.00	310.17	0.00	0.00	0.00
1500811288.0 73 115806.00	857.32	10.79	75.00	238.70	231.48	-0.00	0.00	309.94	0.00	0.00	0.00
1500811289.0 73 115806.00	857.32	10.79	73.42	242.21	235.40	4.66	0.00	310.00	0.00	0.00	0.00
1500811290.0 73 115806.00	857.32	10.79	70.73	243.97	234.09	-0.00	0.00	310.11	0.00	0.00	0.00
1500811291.0 73 115806.00	857.32	10.79	76.58	240.46	235.40	-0.00	0.00	309.94	0.00	0.00	0.00
1500811292.0 73 115806.00	857.32	10.79	72.63	240.46	235.40	-0.00	0.00	310.05	0.00	0.00	0.00
1500811293.0 73 115806.00	857.67	10.98	76.11	242.21	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811294.0 79 115806.00	857.67	10.98	77.53	240.46	231.48	-0.00	0.00	309.89	0.00	0.00	0.00
1500811295.0 79 115806.00	858.53	10.79	74.21	243.97	238.04	-0.00	0.00	310.05	0.00	0.00	0.00
1500811296.0 79 115806.00	857.67	10.98	75.00	240.46	231.48	-0.00	0.00	309.89	0.00	0.00	0.00
1500811297.0 79 115806.00	858.53	10.79	69.62	245.72	238.04	-0.00	0.00	310.17	0.00	0.00	0.00
1500811298.0 79 115806.00	857.32	10.79	74.37	242.21	232.78	-0.00	0.00	309.89	0.00	0.00	0.00
1500811299.0 77 115806.00	858.53	10.79	75.00	245.72	236.72	-0.00	0.00	309.94	0.00	0.00	0.00
1500811300.0 77 115806.00	857.67	10.98	76.90	242.21	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811301.0 77 115806.00	856.11	10.79	77.37	242.21	231.48	-0.00	0.00	309.89	0.00	0.00	0.00
1500811302.0 77 115806.00	857.67	10.98	77.06	243.97	234.09	-2.33	0.00	309.89	0.00	0.00	0.00
1500811303.0 77 115806.00	858.38	11.36	69.46	243.97	232.78	-0.00	0.00	310.22	0.00	0.00	0.00
1500811304.0 77 115806.00	857.32	10.79	74.21	247.47	238.04	-2.33	0.00	310.05	473.68	0.00	0.00
1500811305.0 77 115806.00	857.67	10.98	72.15	247.47	239.37	-0.00	0.00	310.17	0.00	0.00	0.00
1500811306.0 82 115806.00	856.11	10.79	76.90	242.21	230.18	-0.00	0.00	309.89	0.00	0.00	0.00
1500811307.0 82 115806.00	857.67	10.98	75.32	245.72	234.09	-2.33	0.00	309.89	0.00	0.00	0.00
1500811308.0 82 115806.00	857.67	10.98	74.68	243.97	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811309.0 82 115806.00	857.32	10.79	67.41	243.97	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811310.0 82 115806.00	857.67	10.98	69.30	247.47	236.72	-0.00	0.00	310.28	0.00	0.00	0.00
1500811311.0 81 115806.00	856.81	11.17	74.05	243.97	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811312.0 81 115806.00	856.46	10.98	76.11	245.72	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811313.0 81 115806.00	858.03	11.17	71.04	247.47	236.72	-0.00	0.00	310.00	344.01	0.00	0.00
1500811314.0 81 115806.00	857.32	10.79	77.37	243.97	231.48	-0.00	0.00	309.89	0.00	0.00	0.00
1500811315.0 81 115806.00	856.81	11.17	76.27	247.47	234.09	-0.00	0.00	309.94	0.00	0.00	0.00
1500811316.0 81 115806.00	856.11	10.79	68.99	245.72	232.78	-0.00	0.00	310.17	0.00	0.00	0.00
1500811317.0 81 115806.00	856.11	10.79	76.58	245.72	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811318.0 81 115806.00	857.67	10.98	72.47	247.47	235.40	-0.00	0.00	310.00	0.00	0.00	0.00
1500811319.0 81 115806.00	856.81	11.17	71.84	247.47	235.40	-2.33	0.00	310.17	0.00	0.00	0.00
1500811320.0 81 115806.00	856.46	10.98	78.01	247.47	234.09	-0.00	0.00	309.89	0.00	0.00	0.00
1500811321.0 81 115806.00	855.60	11.17	75.32	245.72	232.78	-0.00	0.00	310.00	0.00	0.00	0.00
1500811322.0 81 115806.00	856.46	10.98	73.26	247.47	232.78	-0.00	0.00	310.11	0.00	0.00	0.00
1500811323.0 81 115806.00	856.46	10.98	76.58	247.47	234.09	-0.00	0.00	309.94	0.00	0.00	0.00
1500811324.0 81 115806.00	857.67	10.98	71.84	247.47	231.48	-0.00	0.00	310.05	0.00	0.00	0.00
1500811325.0 81 115806.00	856.81	11.17	69.94	247.47	231.48	-0.00	0.00	309.83	0.00	0.00	0.00
1500811326.0 81 115806.00	856.11	10.79	71.84	249.23	235.40	-0.00	0.00	310.11	0.00	0.00	0.00
1500811327.0 81 115806.00	858.53	10.79	73.26	249.23	234.09	-0.00	0.00	309.89	0.00	0.00	0.00
1500811328.0 81 115806.00	857.32	10.79	76.90	249.23	235.40	-2.33	0.00	309.94	0.00	0.00	0.00
1500811329.0 85 115806.00	858.03	11.17	75.63	247.47	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811330.0 85 115806.00	856.46	10.98	78.64	245.72	228.89	-0.00	0.00	309.77	0.00	0.00	0.00
1500811331.0 85 115806.00	857.32	10.79	74.84	247.47	231.48	-0.00	0.00	309.94	0.00	0.00	0.00
1500811332.0 85 115806.00	856.11	10.79	71.84	250.98	242.03	-0.00	0.00	310.17	0.00	0.00	0.00
1500811333.0 85 115806.00	856.46	10.98	73.89	245.72	231.48	-0.00	0.00	309.89	0.00	0.00	0.00
1500811334.0 85 115806.00	858.03	11.17	74.84	250.98	238.04	-0.00	0.00	310.05	0.00	0.00	0.00
1500811335.0 85 115806.00	857.32	10.79	73.42	247.47	231.48	-0.00	0.00	309.94	0.00	0.00	0.00
1500811336.0 85 115806.00	857.67	10.98	73.89	245.72	228.89	-0.00	0.00	309.77	0.00	0.00	0.00
1500811337.0 85 115806.00	858.03	11.17	74.53	249.23	235.40	-2.33	0.00	309.89	0.00	0.00	0.00
1500811338.0 85 115806.00	857.67	10.98	70.73	247.47	231.48	-0.00	0.00	310.17	0.00	0.00	0.00
1500811339.0 85 115806.00	856.46	10.98	74.21	249.23	234.09	-0.00	0.00	309.89	0.00	0.00	0.00
1500811340.0 85 115806.00	858.89	10.98	71.52	250.98	240.70	-0.00	0.00	310.22	0.00	0.00	0.00
1500811341.0 85 115806.00	857.32	10.79	76.42	249.23	231.48	-0.00	0.00	309.89	0.00	0.00	0.00
1500811342.0 85 115806.00	857.67	10.98	75.79	252.74	235.40	-0.00	0.00	309.94	0.00	0.00	0.00
1500811343.0 85 115806.00	857.67	10.98	73.26	247.47	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811344.0 85 115806.00	856.46	10.98	76.58	249.23	231.48	-0.00	0.00	309.89	0.00	0.00	0.00
1500811345.0 85 115806.00	857.67	10.98	71.84	250.98	238.04	-2.33	0.00	310.17	0.00	0.00	0.00
1500811346.0 85 115806.00	857.67	10.98	69.94	249.23	232.78	-0.00	0.00	310.22	0.00	0.00	0.00
1500811347.0 82 115806.00	856.46	10.98	74.68	249.23	235.40	-2.33	0.00	309.89	0.00	0.00	0.00
1500811348.0 82 115806.00	858.89	10.98	71.20	252.74	238.04	-0.00	0.00	310.05	473.68	0.00	0.00
1500811349.0 82 115806.00	857.67	10.98	71.68	250.98	234.09	-0.00	0.00	310.00	0.00	0.00	0.00
1500811350.0 82 115806.00	859.24	11.17	77.22	252.74	236.72	-0.00	0.00	309.89	0.00	0.00	0.00
1500811351.0 82 115806.00	858.03	11.17	70.09	250.98	235.40	-0.00	0.00	310.00	0.00	0.00	0.00
1500811352.0 82 115806.00	857.67	10.98	74.37	250.98	235.40	-0.00	0.00	310.05	0.00	0.00	0.00
1500811353.0 83 115806.00	859.24	11.17	70.41	254.49	238.04	3.69	0.00	310.11	0.00	0.00	0.00
1500811354.0 83 115806.00	858.53	10.79	69.62	250.98	234.09	-0.00	0.00	310.28	0.00	0.00	0.00
1500811355.0 83 115806.00	857.32	10.79	74.53	247.47	231.48	-0.00	0.00	309.89	0.00	0.00	0.00
1500811356.0 83 115806.00	858.89	10.98	75.32	252.74	235.40	-0.00	0.00	309.94	0.00	0.00	0.00
1500811357.0 83 115806.00	857.32	10.79	74.37	249.23	231.48	-0.00	0.00	309.94	0.00	0.00	0.00
1500811358.0 83 115806.00	858.89	10.98	75.32	252.74	235.40	-2.33	0.00	309.94	0.00	0.00	0.00
1500811359.0 83 115806.00	858.03	11.17	68.99	249.23	232.78	-0.00	0.00	310.17	0.00	0.00	0.00
1500811360.0 83 115806.00	858.03	11.17	73.58	250.98	234.09	-0.00	0.00	309.94	0.00	0.00	0.00
1500811361.0 83 115806.00	859.24	11.17	73.10	252.74	238.04	-0.00	0.00	310.00	0.00	0.00	0.00
1500811362.0 83 115806.00	858.03	11.17	69.46	249.23	231.48	-0.00	0.00	310.17	0.00	0.00	0.00
1500811363.0 83 115806.00	859.24	11.17	70.09	252.74	238.04	-0.00	0.00	310.11	0.00	0.00	0.00
1500811364.0 83 115806.00	856.81	11.17	71.68	249.23	234.09	-0.00	0.00	310.00	0.00	0.00	0.00
1500811365.0 83 115806.00	857.67	10.98	75.16	249.23	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811366.0 83 115806.00	857.67	10.98	75.63	249.23	234.09	-0.00	0.00	309.94	0.00	0.00	0.00
1500811367.0 83 115806.00	858.03	11.17	73.10	252.74	238.04	-0.00	0.00	310.05	0.00	0.00	0.00
1500811368.0 83 115806.00	858.03	11.17	70.57	250.98	235.40	-0.00	0.00	310.05	0.00	0.00	0.00
